JobIDRaw|UID|JobName|Partition|ReqNodes|ReqCPUS|Submit|Start|End|ElapsedRaw|TimelimitRaw|State
1442311|50109.0|sphere.slrm|tornado|1|1|2021-08-22T20:27:50|2021-08-22T22:38:20|2021-09-03T01:02:52|959072|17280|COMPLETED
1442312|50109.0|sphere.slrm|tornado|1|1|2021-08-22T20:27:53|2021-08-22T22:38:51|2021-09-03T01:02:53|959042|20160|COMPLETED
1448074|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:38:27|2021-08-30T18:50:48|2021-09-11T18:51:04|1036816|17280|TIMEOUT
1448075|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:38:36|2021-08-30T18:50:48|2021-09-11T18:51:04|1036816|17280|TIMEOUT
1448076|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:38:40|2021-08-30T21:27:48|2021-09-11T21:28:04|1036816|17280|TIMEOUT
1448077|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:38:43|2021-08-30T21:49:28|2021-09-11T21:49:34|1036806|17280|TIMEOUT
1448079|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:48:19|2021-08-30T21:49:28|2021-09-13T13:53:47|1181059|20160|COMPLETED
1448081|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:08|2021-08-30T21:49:28|2021-09-13T13:54:14|1181086|20160|COMPLETED
1448082|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:10|2021-08-30T21:49:28|2021-09-13T13:54:15|1181087|20160|COMPLETED
1448083|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:12|2021-08-30T21:49:28|2021-09-13T13:54:00|1181072|20160|COMPLETED
1448084|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:14|2021-08-30T21:49:28|2021-09-13T13:54:48|1181120|20160|COMPLETED
1448085|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:16|2021-08-30T21:49:28|2021-09-13T13:54:36|1181108|20160|COMPLETED
1448086|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:53:18|2021-08-30T21:49:28|2021-09-13T13:54:34|1181106|20160|COMPLETED
1448087|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:55:49|2021-08-30T21:49:28|2021-09-06T15:56:26|583618|17280|COMPLETED
1448088|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:55:51|2021-08-30T21:49:28|2021-09-03T00:12:45|267797|17280|COMPLETED
1448089|50109.0|sphere.slrm|tornado|1|1|2021-08-30T15:56:16|2021-08-30T21:49:28|2021-09-13T13:54:09|1181081|20160|COMPLETED
1456036|50109.0|sphere.slrm|tornado|1|1|2021-09-06T17:05:39|2021-09-06T17:05:40|2021-09-13T13:54:04|593304|17280|COMPLETED
1463872|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:04:57|2021-09-13T14:22:54|2021-09-16T16:32:47|266993|17280|COMPLETED
1463873|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:06:18|2021-09-13T14:22:54|2021-09-16T16:32:48|266994|17280|COMPLETED
1463891|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:06:46|2021-09-13T14:22:54|2021-09-16T16:32:55|267001|17280|COMPLETED
1463892|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:07:29|2021-09-13T14:22:54|2021-09-16T16:32:55|267001|17280|COMPLETED
1463893|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:11:04|2021-09-13T14:22:54|2021-09-16T16:39:21|267387|20160|COMPLETED
1463895|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:11:48|2021-09-13T14:22:54|2021-09-16T16:39:33|267399|20160|COMPLETED
1463896|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:13:06|2021-09-13T14:22:54|2021-09-16T16:39:06|267372|20160|COMPLETED
1463904|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:15:07|2021-09-13T14:23:26|2021-09-16T16:39:02|267336|20160|COMPLETED
1463906|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:15:28|2021-09-13T14:23:26|2021-09-13T14:23:26|0|20160|COMPLETED
1463910|50109.0|sphere.slrm|tornado|1|1|2021-09-13T14:16:47|2021-09-13T14:23:26|2021-09-16T16:39:02|267336|20160|COMPLETED
