JobIDRaw|UID|GID|JobName|Partition|ReqNodes|ReqCPUS|AllocNodes|AllocCPUS|NodeList|Timelimit|Submit|Reserved|Start|End|Elapsed|CPUTimeRAW|ElapsedRaw|TimelimitRaw|Priority|State|Unnamed: 21
1442311|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p584|12-00:00:00|2021-08-22T20:27:50|02:10:30|2021-08-22T22:38:20|2021-09-03T01:02:52|11-02:24:32|53708032|959072|17280|1|COMPLETED|
1442312|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p583|14-00:00:00|2021-08-22T20:27:53|02:10:58|2021-08-22T22:38:51|2021-09-03T01:02:53|11-02:24:02|53706352|959042|20160|1|COMPLETED|
1448074|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p157|12-00:00:00|2021-08-30T15:38:27|03:12:21|2021-08-30T18:50:48|2021-09-11T18:51:04|12-00:00:16|58061696|1036816|17280|1|TIMEOUT|
1448075|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p162|12-00:00:00|2021-08-30T15:38:36|03:12:12|2021-08-30T18:50:48|2021-09-11T18:51:04|12-00:00:16|58061696|1036816|17280|1|TIMEOUT|
1448076|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p440|12-00:00:00|2021-08-30T15:38:40|05:49:08|2021-08-30T21:27:48|2021-09-11T21:28:04|12-00:00:16|58061696|1036816|17280|1|TIMEOUT|
1448077|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p037|12-00:00:00|2021-08-30T15:38:43|06:10:45|2021-08-30T21:49:28|2021-09-11T21:49:34|12-00:00:06|58061136|1036806|17280|1|TIMEOUT|
1448079|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p039|14-00:00:00|2021-08-30T15:48:19|06:01:09|2021-08-30T21:49:28|2021-09-13T13:53:47|13-16:04:19|66139304|1181059|20160|1|COMPLETED|
1448081|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p042|14-00:00:00|2021-08-30T15:53:08|05:56:20|2021-08-30T21:49:28|2021-09-13T13:54:14|13-16:04:46|66140816|1181086|20160|1|COMPLETED|
1448082|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p044|14-00:00:00|2021-08-30T15:53:10|05:56:18|2021-08-30T21:49:28|2021-09-13T13:54:15|13-16:04:47|66140872|1181087|20160|1|COMPLETED|
1448083|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p066|14-00:00:00|2021-08-30T15:53:12|05:56:16|2021-08-30T21:49:28|2021-09-13T13:54:00|13-16:04:32|66140032|1181072|20160|1|COMPLETED|
1448084|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p089|14-00:00:00|2021-08-30T15:53:14|05:56:14|2021-08-30T21:49:28|2021-09-13T13:54:48|13-16:05:20|66142720|1181120|20160|1|COMPLETED|
1448085|50109.0|50101|sphere.slrm|tornado|1|1|1|56|n01p092|14-00:00:00|2021-08-30T15:53:16|05:56:12|2021-08-30T21:49:28|2021-09-13T13:54:36|13-16:05:08|66142048|1181108|20160|1|COMPLETED|
