JobID|JobIDRaw|JobName|User|Partition|State|QOS|Priority|Reason|Flags|Submit|Eligible|Start|End|Elapsed|ElapsedRaw|Planned|PlannedCPURAW|ReqNodes|ReqCPUS|ReqMem|AllocNodes|AllocCPUS|AllocTRES|NTasks|Timelimit|TimelimitRaw|CPUTimeRAW|NodeList|ExitCode
254|254|sim_1|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:17:21|00:06:19|379|00:00:00|0|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:19:00|19|1516|node[1-4]|0:0
255|255|sim_2|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:17:21|2026-06-17T16:22:09|00:04:48|288|00:06:19|758|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:09:00|9|576|node[1-2]|0:0
256|256|sim_3|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:17:21|2026-06-17T16:24:12|00:06:51|411|00:06:19|379|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||01:00:00|60|411|node3|0:0
257|257|sim_4|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:25:23|2026-06-17T16:31:18|00:05:55|355|00:14:21|3444|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:19:00|19|1420|node[1-4]|0:0
258|258|sim_5|ivan|debug|COMPLETED|normal|1|None|SchedBackfill,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:22:33|2026-06-17T16:25:23|00:02:50|170|00:11:31|2073|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:07:00|7|510|node[1-2,4]|0:0
259|259|sim_6|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:31:18|2026-06-17T16:39:37|00:08:19|499|00:20:16|3648|3|3|3M|3|3|billing=3,cpu=3,mem=3M,node=3||00:21:00|21|1497|node[1-3]|0:0
260|260|sim_7|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:31:18|2026-06-17T16:37:32|00:06:14|374|00:20:16|1216|1|1|1M|1|1|billing=1,cpu=1,mem=1M,node=1||00:38:00|38|374|node4|0:0
261|261|sim_8|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:39:37|2026-06-17T16:46:00|00:06:23|383|00:28:35|3430|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||00:33:00|33|766|node[1-2]|0:0
262|262|sim_9|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:46:38|2026-06-17T16:49:47|00:03:09|189|00:35:36|8544|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:17:00|17|756|node[1-4]|0:0
263|263|sim_10|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:49:48|2026-06-17T16:54:39|00:04:51|291|00:38:46|9304|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:27:00|27|1164|node[1-4]|0:0
264|264|sim_11|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T16:54:39|2026-06-17T16:59:09|00:04:30|270|00:43:37|5234|2|2|2M|2|2|billing=2,cpu=2,mem=2M,node=2||01:00:00|60|540|node[1-2]|0:0
265|265|sim_12|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T17:07:04|2026-06-17T17:14:32|00:07:28|448|00:56:02|13448|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:18:00|18|1792|node[1-4]|0:0
266|266|sim_13|ivan|debug|COMPLETED|normal|1|None|SchedMain,StartReceived|2026-06-17T16:11:02|2026-06-17T16:11:02|2026-06-17T17:14:32|2026-06-17T17:20:12|00:05:40|340|01:03:30|15240|4|4|4M|4|4|billing=4,cpu=4,mem=4M,node=4||00:13:00|13|1360|node[1-4]|0:0
